;content
0;njir kirain bercanda
1;egara negara dengan sistem pendidikan publik terbaik    swedia   denmark   jerman   kanada   norwegia   finlandia   inggris   belanda   switzerland   jepang sumber  us news
2;ahh enak bisa numpang nama aja dikelompok trus lulus hehe 
3;h boong
4;ang lagi skripsian sekarang   kamu bercanda yah  ☺️😇
5;udulnya klick bait 😭😭 padahal pengganti skripsinya sama aja susahnya
6;g lg skripsian bi lek  kenapa ga dari dulu pak😃
7;ak diwajibkan  tapi pasti lainnya adalah nerbitinn jurnal  juara pimnas  dsb 😂🙉 syulitss
8;kripsi diganti cap cip cup
9;adiem menyebut syarat kelulusan diserahkan kepada setiap kepala program  kaprodi  pendidikan di perguruan tinggi tersebut  aku penasaran sama dampaknya   tahun ke depan bakal seperti apa  eh tapi tahun depan udah pilpres  menterinya bisa ganti lagi  kebijakannya jg ganti 😅
10;enapa ga dari dulu 😭😭 ga adil 😮‍💨
11;ak thesis magister sekalian paaakkk yuk bisa yuukk
12;api nanti ngga ada yg bisa di kenang  yang udah lulus masih suka flashback perjuangan skripsian
13;ahhh berarti ga wajib lagi ya  buat yang kuliah harusnya ini menolong ya
14;ending sekalian universitas di hapuskan percuma lu semua kuliah kalo baca judul doang tanpa tau isinya dah ngamok
15;enapa peraturan dirubahnya pas saya udah lulus pak 😭
16;ak diwajibkan guys bukan ditiadakan 
17;yarat kelulusan di luar negeri juga tidak hanya skripsi  di amerika bisa milih a  ujian skripsi atau tesis b   professional project  bisa dalam bentuk film dokumenter  tulisan jurnal  atau presentasi ilmiah  c   ujian komprehensif  biasanya berbentuk tulisan
18;enapa nggak dari dulu pak 😭
19;lhamdulillah 😊 jadi banyak mahasiswa yg seneng    dan ngurangi bundir gak si
20;t gak ada skripsi jaya jaya jaya
21;a mewajibkan skripsi bukan berarti lu tinggal lulus gitu aja  engga gitu ya pergusooo 😭
22;ok baru sekarang ada peraturan ituu
23;ausa skripsi pak  syarat lulus harus hobi mancing
24;antia ada tugas akhir yg lain yg sama berat juga
25;😂 banyak yg kegocek   baca dan pahami   
26;lhamdulillah
27;kwk coba dari dulu gini pak
28;elo aza  dulu w adanya ta  tugas alhamdulillah untung kelar  sidangnya   pameran sekali  ampun pak supir
29;lhamdulillah jadi mau kuliah lagi 😔 bismillahirrahmanirrahim dkv online 😭
30;arusnya mah ini udah dari jaman gue mau skripsian ada aturannya 🥲
31;w yg baru aja sidang skripsi 
32;ergantung kampusnya
33;pa ini bisa menghindari mahasiswa abadi
34;ni ni yang di tunggu tunggu 
35;dah lulus baru ada aturan gini  buat skripsi susah bangt huhuhuhu
36;ang udah lulus pasti iri  aku aku aku wkwk
37;ulu gw lulus sma  kemudia ujian nasional dihapus  sekarang gw lulus kuliah  skripsi dihapus anjing  napa ga pas masa gw dihapusnta tolol
38;mirrii nih
39;erus tugas akhirnya diganti apa 
40;ahasiswa abadi auto kegirangan nih
41;t as the og no    scoring a free ticket when you buy  from is a game changer  thanks for the th free…
42;enapa baru sekarang sih pak 😭🖐🏻
43;kripsi diganti uninstall tiktok selama setahun  sejatinya dah cukup tuk menyelesaikan beberapa problematika dan mencerdaskan bangsa
44;ekalian aja hapus universitasnya 🤣🤣🤣
45;rattibha screenshot this 
46;eren
47;esis jg gak neh  kl diapus juga mo s neh wkwk
48;ukan menjadi syarat utama ya  
49;hhh  i have mid feeling about this
50;ugas akhirnya diganti aja  budidaya bonsai kangkung
51;ari ganti skripsi dengan budidaya lele
52;embimbing sama penguji gak dapet amplop sama nasi kotak lagi mampuss
53;enapa gak dari dlu pak peraturannya
54;ampus w dari tahun kemarin nerapin jurnal buat ta  gk ada skripsi lagi  cuman yang jdi permasalahan nya    waw biayanya hebat   
55;ejak dulu harusnya skripsi itu diganti dengan tugas kliping aja 😂
56;dhal skripsi itu jadi  pembeda  cara pikir sistematis dgn yg non skripsi  ini menteri harusnya sdh diganti dari awal bikin pelajar tdk pny daya kompetisi
57;es rausa dilanjutke skripsine 
58;angan terkecoh judul 
59;aa ga dapet cuan lg dong tukang nyadur skripsi orang   dosen penguji  pembimbing yg tiap acc minta cuan   bukan di berantas tikusnya ini malah di bakar lumbungnya   mo jadi apa mahasiswa sekarang    
60;rodi ku udh nerapin ini  kelulusan bisa ditempuh lewat jalur skripsi  artikel ilmiah  dan karya sastra  bahkan dosen dosen aku oprec buat mahasiswa yg mau ikut riset terus bikin jurnal sampe terbit ke sinta  dan bisa diajukan untuk sidang kelulusan 
61;ekalian aja gak usah kuliah  langsung kasih gelar aja seperti kalian ngasih gelar kepada yang terhormat dan tercinta anak presiden pertama sang jenius dan terhebat sedunia akhirat ibu megawati soekarno putri 
62; 
63;ulti tafsir wkwk    bisa jadi skripsi di hapus   bisa jadi boleh susun skripsi di semester lebih awal   tak wajibkan berarti bisa juga di akhir semester   baca dulu beritanya wkwk
64;jungnya      setiap pelajar mahasiswa yang lulus tidak diwajibkan memiliki ijazah 🤣🤣🤣
65;ttps   t co idmbmmjy
66;mycatisgr 😀😁
67;apulkt mari kita berdoa
68; 
69;natadhecocow
70;dih najis telat ego lu
71;masbiasaajaa basii
72;ang males baca  ini saya kasi inti beritanya  tugas akhir bisa berbentuk macam macam  bisa berbentuk prototipe  proyek  bisa berbentuk lainnya  bukan hanya skripsi tesis dan disertasi  keputusan ini ada di perguruan tinggi  
73;iliran udah lulus baru dihapus anjing 
74;udul yg bener harusnya skripsi bisa di ganti dengan tugas lain sebagai syarat kelulusan mahasiswa  
75;ah ini  usul saya dari dulu  walaupun saya lulus tepat waktu lewat skripsi saat s dan tesis saat s  tapi saya sedih lihat teman kuliah saya yg akhirnya do karena tidak menyelesaikan skripsi sampai batas waktu yg ditentukan
76;mp dak ad un sma ubtk tps kuliah
77;angan senang dulu kisanak  memang tesis dihapus tapi diganti penelitian wajib publikasi  itu pun kalau lolos submit   tapi setidaknya tugas akhir yg diganti penelitian wajib publikasi gini lebih berkualitas dibanding yang sudah sudah 
78;lhamdulillah kalo begitu 😭
79;imulainya kapan nih pak nadiem 
80;ang udah lulus  udah jangan di sesali  pd akhirnya nnti lamar kerja juga masih akan sulit😅😅
81;ni mah rename  doang pak wkwk 
82;i kampus seni indonesia jg udah begini  skripsi jadi tugas karya akhir  memamg buat bbrp jurusan lebih pas bukan skripsi 
83;kipsi lagi capek capeknya  kluar berita gini sedikit menghibur jiwaku
84;ah udeh lulus
85;ais baca beritanya skripsi gak dihapus ya gais  tapi bukan lagi menjadi syarat dan itu kembali lagi ke universitas masing masing  lagian katanya “tidak mewajibkan” jadi ya bukan berarti dihilangkan 
86;ulai di ganti dgn proyek  d banding paper mulu
87;hat 😅
88;hat the faaaaakkk 😂
89;hat the hellllll
90;pa ya yang menjadi komponen pengganti skripsi   apakah jurnaling 
91;hat the hell  what a mess
92;erdas 
93;g bener pak  mumpung masih bab  ni        
94;etuju  buat sekolah it mendingan buat tugas akhir proyek yang bisa dipake buat porto juga😁
95;aduh    gk ada alasan lg nih buat lama kuliah
96;ebuah kemunduran 👏
97;uk undur”
