created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 12:19:55 +0000 2023;1696497909523763224;"anjir kirain bercanda";0;0;0;6;in;1376555310;1696475810465816588;UJunami;https://twitter.com/UJunami/status/1696497909523763224
Tue Aug 29 12:52:17 +0000 2023;1696506053972947003;"Negara-negara dengan sistem pendidikan publik terbaik.  1. Swedia 2. Denmark 3. Jerman 4. Kanada 5. Norwegia 6. Finlandia 7. Inggris 8. Belanda 9. Switzerland 10. Jepang  Sumber: US News";1;9;7;100;in;782565427691917312;1696475810465816588;thematrixisme;https://twitter.com/thematrixisme/status/1696506053972947003
Wed Aug 30 01:38:08 +0000 2023;1696698786318594503;"Wahh enak bisa numpang nama aja dikelompok trus lulus hehe https://t.co/HVogsrXQhZ";0;1;0;1;in;109167911;1696475810465816588;sun31__;https://twitter.com/sun31__/status/1696698786318594503
Tue Aug 29 11:37:05 +0000 2023;1696487130527359068;"Ah boong";0;0;0;0;en;905288615189762051;1696475810465816588;adhistiyy;https://twitter.com/adhistiyy/status/1696487130527359068
Tue Aug 29 12:09:51 +0000 2023;1696495375383921090;"Yang lagi skripsian sekarang : kamu bercanda yah? ☺️😇";0;2;0;3;in;842854281992536065;1696475810465816588;cangklir;https://twitter.com/cangklir/status/1696495375383921090
Tue Aug 29 12:11:08 +0000 2023;1696495699679236586;"Judulnya klick bait 😭😭 padahal pengganti skripsinya sama aja susahnya";0;9;0;71;in;4906236141;1696475810465816588;mnnamyoui;https://twitter.com/mnnamyoui/status/1696495699679236586
Tue Aug 29 12:13:17 +0000 2023;1696496241247764500;"Yg lg skripsian bi lek: kenapa ga dari dulu pak😃";0;1;1;2;in;2757312057;1696475810465816588;kourcaci;https://twitter.com/kourcaci/status/1696496241247764500
Tue Aug 29 15:32:53 +0000 2023;1696546469602537494;"Tak diwajibkan, tapi pasti lainnya adalah nerbitinn jurnal, juara pimnas, dsb 😂🙉 syulitss";0;4;0;47;in;1304292109470498816;1696475810465816588;utbkcak;https://twitter.com/utbkcak/status/1696546469602537494
Tue Aug 29 11:44:22 +0000 2023;1696488960925814868;"skripsi diganti cap cip cup";3;4;13;179;in;1055661202422947840;1696475810465816588;firzadwp;https://twitter.com/firzadwp/status/1696488960925814868
Tue Aug 29 12:18:45 +0000 2023;1696497616924852690;"Nadiem menyebut syarat kelulusan diserahkan kepada setiap kepala program (kaprodi) pendidikan di perguruan tinggi tersebut.  Aku penasaran sama dampaknya 3-4 tahun ke depan bakal seperti apa. Eh tapi tahun depan udah Pilpres, menterinya bisa ganti lagi, kebijakannya jg ganti 😅";9;4;25;183;in;606893280;1696475810465816588;tehsintia;https://twitter.com/tehsintia/status/1696497616924852690
